schema,ticker,rebalance_date,end_date,error
definition,ITW,2022-12-27,2022-12-27,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1274ec350>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,ITW,2022-12-27,2023-01-31,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273d76e0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,KMB,2022-12-27,2022-12-27,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12742d2e0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,KMB,2022-12-27,2023-01-31,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12742ee40>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,MTD,2022-12-27,2022-12-27,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12742c710>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,MTD,2022-12-27,2023-01-31,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x12742fcb0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,NFLX,2022-12-27,2022-12-27,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1271964b0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,NFLX,2022-12-27,2023-01-31,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x127346450>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
definition,NUE,2022-12-27,2022-12-27,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1271953a0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
OHLCV-1d,NUE,2022-12-27,2023-01-31,"HTTPSConnectionPool(host='hist.databento.com', port=443): Max retries exceeded with url: /v0/timeseries.get_range (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1273444d0>: Failed to resolve 'hist.databento.com' ([Errno 8] nodename nor servname provided, or not known)""))"
